COMPAGNIE;DATE COMPTABLE;DIV. OU TRA#1;SERV. OU TRA#2;DEPT. OU TRA#3;S-DEPT. OU TRA#4;TRA#5;TRA#6;RELEVES;DATE;MATRICULE;NOM, PRENOM;TYPE;CODE;DESCRIPTION CODE;QUANTITES;TAUX;MONTANTS;MNTS/EMPLOYEUR;QUANTITES BANQUE;MNTS BANQUE
1;2026-06-18;01;130;131;001;A;REG;R1;2026-06-18;1001;SYNTHETIQUE, ALPHA;G;1;HRES REGULIERES;70.00;35.00;2450.00;0.00;0.00;0.00
1;2026-06-18;01;130;131;001;A;REG;R1;2026-06-18;1001;SYNTHETIQUE, ALPHA;G;2;HRES SUPPLEMENTAIRES;1.00;380.75;380.75;0.00;0.00;0.00
1;2026-06-18;01;220;221;001;A;REG;R1;2026-06-18;1002;SYNTHETIQUE, BRAVO;G;4;HRES FORMATION;1.00;675.50;675.50;0.00;0.00;0.00
1;2026-06-18;01;220;221;001;A;REG;R1;2026-06-18;1002;SYNTHETIQUE, BRAVO;G;7;VACANCES PAYEES;1.00;512.25;512.25;0.00;0.00;0.00
1;2026-06-18;01;330;331;001;A;REG;R1;2026-06-18;1003;SYNTHETIQUE, CHARLIE;G;21;PRIME QUART;1.00;95.35;95.35;0.00;0.00;0.00
1;2026-06-18;01;330;331;001;A;REG;R1;2026-06-18;1003;SYNTHETIQUE, CHARLIE;G;22;AJUSTEMENT RETRO;1.00;275.40;275.40;0.00;0.00;0.00
1;2026-06-18;01;410;411;001;A;REG;R1;2026-06-18;1004;SYNTHETIQUE, DELTA;G;23;COMMISSION THEORIQUE;1.00;960.60;960.60;0.00;0.00;0.00
1;2026-06-18;01;410;411;001;A;REG;R1;2026-06-18;1004;SYNTHETIQUE, DELTA;G;24;MALADIE PAYEE;1.00;160.00;160.00;0.00;0.00;0.00
1;2026-06-18;01;520;521;001;A;REG;R1;2026-06-18;1005;SYNTHETIQUE, ECHO;G;25;BONI THEORIQUE;1.00;650.00;650.00;0.00;0.00;0.00
1;2026-06-18;01;520;521;001;A;REG;R1;2026-06-18;1005;SYNTHETIQUE, ECHO;G;26;AJUSTEMENT CENTS;1.00;40.15;40.15;0.00;0.00;0.00
1;2026-06-18;01;130;131;001;A;REG;R1;2026-06-18;1001;SYNTHETIQUE, ALPHA;D;30;IMPOT FEDERAL;0.00;0.00;1420.50;0.00;0.00;0.00
1;2026-06-18;01;130;131;001;A;REG;R1;2026-06-18;1001;SYNTHETIQUE, ALPHA;D;31;IMPOT PROVINCIAL;0.00;0.00;1588.25;0.00;0.00;0.00
1;2026-06-18;01;220;221;001;A;REG;R1;2026-06-18;1002;SYNTHETIQUE, BRAVO;D;40;RRQ EMPLOYE;0.00;0.00;411.20;0.00;0.00;0.00
1;2026-06-18;01;220;221;001;A;REG;R1;2026-06-18;1002;SYNTHETIQUE, BRAVO;D;41;ASSURANCE EMPLOI;0.00;0.00;98.30;0.00;0.00;0.00
1;2026-06-18;01;330;331;001;A;REG;R1;2026-06-18;1003;SYNTHETIQUE, CHARLIE;D;42;RQAP EMPLOYE;0.00;0.00;62.40;0.00;0.00;0.00
1;2026-06-18;01;330;331;001;A;REG;R1;2026-06-18;1003;SYNTHETIQUE, CHARLIE;D;50;ASSURANCE COLLECTIVE;0.00;0.00;145.75;0.00;0.00;0.00
1;2026-06-18;01;410;411;001;A;REG;R1;2026-06-18;1004;SYNTHETIQUE, DELTA;D;51;REER COLLECTIF;0.00;0.00;355.60;0.00;0.00;0.00
1;2026-06-18;01;410;411;001;A;REG;R1;2026-06-18;1004;SYNTHETIQUE, DELTA;D;60;AVANCE THEORIQUE;0.00;0.00;170.00;0.00;0.00;0.00
1;2026-06-18;01;520;521;001;A;REG;R1;2026-06-18;1005;SYNTHETIQUE, ECHO;D;61;COTISATION THEORIQUE;0.00;0.00;91.00;0.00;0.00;0.00
1;2026-06-18;01;130;131;001;A;REG;R1;2026-06-18;1001;SYNTHETIQUE, ALPHA;D;6;FSS EMPLOYEUR;0.00;0.00;0.00;142.25;0.00;0.00
1;2026-06-18;01;220;221;001;A;REG;R1;2026-06-18;1002;SYNTHETIQUE, BRAVO;D;7;RRQ EMPLOYEUR;0.00;0.00;0.00;150.50;0.00;0.00
1;2026-06-18;01;330;331;001;A;REG;R1;2026-06-18;1003;SYNTHETIQUE, CHARLIE;D;8;RQAP EMPLOYEUR;0.00;0.00;0.00;38.00;0.00;0.00
1;2026-06-18;01;520;521;001;A;REG;R1;2026-06-18;1005;SYNTHETIQUE, ECHO;G;305;BQ VACANCES $;0.00;0.00;0.00;0.00;0.00;112.25
1;2026-06-18;01;520;521;001;A;REG;R1;2026-06-18;1005;SYNTHETIQUE, ECHO;G;113;BQ HRES PAYEES;0.00;0.00;0.00;0.00;12.00;999.99
